experiment,seed,dataset,metric,value,checkpoint,source_file
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,ETIS-LaribPolypDB,maxE_phi,0.9124265129451266,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,ETIS-LaribPolypDB,mE_phi,0.9000450007333838,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,ETIS-LaribPolypDB,MAE,0.013750117635777796,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,Kvasir-SEG,mDice,0.9340962564945221,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,Kvasir-SEG,mIoU,0.8863615426421165,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,Kvasir-SEG,S_alpha,0.9346255591869875,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,Kvasir-SEG,F_beta_w,0.91432347322634,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,Kvasir-SEG,maxE_phi,0.967759145321083,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,Kvasir-SEG,mE_phi,0.9614603833646481,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,7777,Kvasir-SEG,MAE,0.023784349364201693,seed_7777/best_checkpoint.pth,seed_7777/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,mean,CVC-300,mDice,0.8820605802875221,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,std,CVC-300,mDice,0.0015538695339805677,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,mean,CVC-300,mIoU,0.8103940237735503,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,std,CVC-300,mIoU,0.0017533825125618753,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,mean,CVC-300,S_alpha,0.9280706685141779,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,std,CVC-300,S_alpha,0.003038474611982672,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,mean,CVC-300,F_beta_w,0.8570844992834236,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,std,CVC-300,F_beta_w,0.0009930639879518002,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,mean,CVC-300,maxE_phi,0.9705956203450335,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,std,CVC-300,maxE_phi,0.0014903894270305235,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,mean,CVC-300,mE_phi,0.9558099910071554,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,std,CVC-300,mE_phi,0.004722144311847565,--,aggregate: seeds 42|6543|7777; ddof=1
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,mean,CVC-300,MAE,0.007368013768342878,--,aggregate: seeds 42|6543|7777; ddof=1
