"experiment","experiment_id","seed","dataset","metric","value","status","protocol_group","checkpoint","source_file","component","enabled"
"one_seed_33_fafem_warmup_cosine","Exp33","6543","ETIS-LaribPolypDB","mIoU","0.7138549168151522","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","ETIS-LaribPolypDB","S_alpha","0.8807342721619952","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","ETIS-LaribPolypDB","F_beta_w","0.7617397777346662","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","ETIS-LaribPolypDB","maxE_phi","0.9116025467675826","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","ETIS-LaribPolypDB","mE_phi","0.8987955236059741","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","ETIS-LaribPolypDB","MAE","0.014244630894402793","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","Kvasir-SEG","mDice","0.9232848525047302","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","Kvasir-SEG","mIoU","0.8723605236411095","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","Kvasir-SEG","S_alpha","0.9284827285576921","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","Kvasir-SEG","F_beta_w","0.9010543830911898","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","Kvasir-SEG","maxE_phi","0.9613548793687923","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","Kvasir-SEG","mE_phi","0.9541760444097714","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","6543","Kvasir-SEG","MAE","0.024703594820170652","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_6543\evaluation_summary.json","",""
